individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
4,0.132,0.185,0.417,0.22,1.345,0.117,0.082,0.192,770,860,860,860,1550,1720,1630,1720
4,0.156,0.214,0.417,0.243,1.43,0.11,0.093,0.197,770,860,860,860,1550,1720,1720,1720
4,0.15,0.197,0.452,0.249,1.426,0.128,0.093,0.157,770,860,860,860,1550,1720,1630,1720
4,0.116,0.174,0.412,0.214,1.396,0.156,0.104,0.22,770,860,860,860,1550,1720,1720,1720
4,0.133,0.162,0.394,0.226,1.403,0.174,0.105,0.209,680,940,860,860,1460,1800,1720,1720
4,0.145,0.197,0.423,0.267,1.426,0.127,0.093,0.174,770,860,860,860,1550,1720,1630,1720
4,0.127,0.203,0.412,0.238,1.369,0.128,0.081,0.18,770,860,860,860,1550,1720,1630,1720
4,0.127,0.174,0.4,0.214,1.361,0.145,0.098,0.203,770,940,860,860,1630,1630,1630,1720
4,0.11,0.185,0.406,0.214,1.321,0.139,0.093,0.174,770,860,860,860,1550,1630,1630,1720
4,0.133,0.179,0.4,0.22,1.339,0.139,0.088,0.18,770,860,860,860,1550,1720,1630,1720
4,0.127,0.185,0.423,0.22,1.368,0.14,0.087,0.186,770,860,860,860,1550,1720,1630,1720
4,0.127,0.174,0.394,0.191,1.344,0.145,0.098,0.215,770,860,860,860,1550,1800,1630,1720
4,0.133,0.191,0.423,0.214,1.368,0.128,0.087,0.192,770,860,860,860,1550,1720,1630,1720
4,0.11,0.179,0.406,0.22,1.368,0.151,0.099,0.203,770,720,810,830,1550,1800,1630,1720
4,0.139,0.185,0.412,0.238,1.38,0.133,0.093,0.18,810,720,860,830,1630,1720,1630,1630
4,0.11,0.168,0.429,0.203,1.374,0.162,0.093,0.209,680,860,860,860,1460,1720,1630,1720
4,0.11,0.156,0.423,0.238,1.403,0.174,0.093,0.209,710,810,810,860,1550,1720,1630,1720
4,0.116,0.168,0.435,0.232,1.397,0.162,0.093,0.191,710,860,840,810,1550,1720,1630,1720
4,0.121,0.15,0.423,0.249,1.373,0.139,0.099,0.192,680,860,860,860,1460,1720,1630,1720
4,0.121,0.179,0.435,0.238,1.391,0.151,0.099,0.168,710,810,810,810,1460,1630,1630,1720
4,0.145,0.179,0.423,0.272,1.443,0.156,0.088,0.18,770,770,860,810,1550,1800,1630,1720
4,0.133,0.214,0.452,0.267,1.454,0.145,0.076,0.167,770,860,860,860,1550,1720,1630,1720
4,0.139,0.168,0.423,0.203,1.293,0.052,0.099,0.209,760,810,810,810,1550,1800,1630,1630
4,0.104,0.179,0.4,0.22,1.321,0.139,0.099,0.18,770,710,810,860,1460,1720,1630,1630
4,0.127,0.185,0.417,0.203,1.357,0.14,0.087,0.198,740,710,810,860,1460,1720,1630,1720
4,0.127,0.174,0.417,0.238,1.38,0.157,0.087,0.18,770,860,770,860,1460,1720,1630,1720
4,0.116,0.191,0.417,0.226,1.368,0.145,0.093,0.18,760,840,810,860,1550,1720,1630,1720
4,0.133,0.185,0.417,0.226,1.374,0.151,0.082,0.18,730,840,830,860,1550,1720,1630,1720
4,0.121,0.185,0.417,0.226,1.368,0.146,0.087,0.186,680,860,860,860,1550,1800,1630,1720
4,0.15,0.197,0.423,0.238,1.381,0.117,0.087,0.169,680,840,810,860,1550,1720,1630,1720
4,0.127,0.185,0.423,0.22,1.368,0.134,0.093,0.186,780,810,810,860,1550,1720,1630,1720
4,0.133,0.197,0.441,0.226,1.391,0.139,0.075,0.18,740,830,860,860,1550,1720,1630,1720
4,0.116,0.203,0.446,0.249,1.397,0.133,0.081,0.169,680,860,860,860,1550,1720,1630,1630
4,0.116,0.197,0.429,0.232,1.38,0.139,0.081,0.186,770,770,860,860,1550,1630,1630,1720
